Ozan,1190,618
Cormoranche-sur-Saône,1290,1058
Plagne,1130,129
Tossiat,1250,1406
Pouillat,1250,88
Torcieu,1230,698
Replonges,1620,3500
Corcelles,1110,243
Péron,1630,2143
Relevant,1990,466
Chaveyriat,1660,927
Vaux-en-Bugey,1150,1169
Maillat,1430,668
Faramans,1800,681
Béon,1350,373
Saint-Bernard,1600,1375
Rossillon,1510,148
Pont-d'Ain,1160,2627
Nantua,1460,3713
Chavannes-sur-Reyssouze,1190,680
Neuville-les-Dames,1400,1504
Flaxieu,1350,63
Hotonnes,1260,306
Saint-Sorlin-en-Bugey,1150,1061
Songieu,1260,130
Virieu-le-Petit,1260,309
Saint-Denis-en-Bugey,1500,2178
Charnoz-sur-Ain,1800,911
Chazey-sur-Ain,1150,1464
Marchamp,1680,118
Culoz,1350,2909
Mantenay-Montlin,1560,288
Marboz,1851,2182
Foissiat,1340,1912
Treffort-Cuisiat,1370,2204
Izieu,1300,201
Saint-Étienne-du-Bois,1370,2441
Hauteville-Lompnes,1110,4044
Saint-Trivier-sur-Moignans,1990,1877
Peyriat,1430,171
Évosges,1230,140
Poncin,1450,1644
Crans,1320,269
Montréal-la-Cluse,1460,3457
Cleyzieu,1230,135
Lompnieu,1260,122
Villereversure,1250,1208
Saint-Martin-du-Mont,1160,1651
Saint-Genis-Pouilly,1630,8914
Bolozon,1450,94
Confrançon,1310,1157
Lochieu,1260,91
Chanoz-Châtenay,1400,706
Villebois,1150,1153
Ceignes,1430,265
Saint-Didier-sur-Chalaronne,1140,2776
Revonnas,1250,788
Bourg-Saint-Christophe,1800,1173
Condeissiat,1400,756
Pirajoux,1270,360
Chalamont,1320,2322
Le Plantay,1330,540
Versailleux,1330,332
Montagnat,1250,1646
Vieu,1260,380
Saint-André-de-Corcy,1390,2991
Bressolles,1360,709
Péronnas,1960,6054
Colomieu,1300,115
Monthieux,1390,599
Saint-Jean-sur-Reyssouze,1560,744
Garnerans,1140,656
Montrevel-en-Bresse,1340,2362
Conand,1230,104
Challes-la-Montagne,1450,179
Mogneneins,1140,727
Thoissey,1140,1540
Chaleins,1480,1165
Neuville-sur-Ain,1160,1571
Thil,1120,1070
Jujurieux,1640,2097
Oncieu,1230,91
Lurcy,1090,393
Balan,1360,2348
Ambutrix,1500,729
Sainte-Croix,1120,534
Blyes,1150,886
Conzieu,1300,135
Niévroz,1120,1488
Nurieux-Volognat,1460,1058
Ambléon,1300,116
Saint-Maurice-de-Gourdans,1800,2498
Chézery-Forens,1200,434
Sault-Brénaz,1150,1043
Murs-et-Gélignieux,1300,241
Le Petit-Abergement,1260,138
Cormoz,1560,625
Saint-Martin-de-Bavel,1510,443
Saint-Trivier-de-Courtes,1560,1013
Boyeux-Saint-Jérôme,1640,321
Château-Gaillard,1500,1818
Prémeyzel,1300,234
Arandas,1230,163
Châtenay,1320,352
Innimond,1680,114
Boz,1190,496
Briord,1470,893
Reyrieux,1600,4093
Matafelon-Granges,1580,652
Drom,1250,209
Châtillon-en-Michaille,1200,3120
Polliat,1310,2403
Vesancy,1170,526
Massieux,1600,2428
Saint-Cyr-sur-Menthon,1380,1636
Serrières-sur-Ain,1450,119
Nivollet-Montgriffon,1230,143
Izernore,1580,2278
Saint-Nizier-le-Désert,1320,880
Guéreins,1090,1308
Illiat,1140,570
La Tranclière,1160,301
Saint-Didier-de-Formans,1600,1792
Mérignat,1450,139
Saint-Éloi,1800,399
La Chapelle-du-Châtelard,1240,341
Saint-Jean-de-Niost,1800,1421
Savigneux,1480,1204
Nattages,1300,564
Saint-Benoît,1300,773
Douvres,1500,962
Francheleins,1090,1323
Dortan,1590,1996
Saint-Germain-les-Paroisses,1300,387
Miribel,1700,9066
Lancrans,1200,1052
Échenevex,1170,1631
Saint-Jean-sur-Veyle,1290,1082
Billiat,1200,484
L'Abergement-de-Varey,1640,221
Villeneuve,1480,1383
Villars-les-Dombes,1330,4399
Thézillieu,1110,324
Saint-Étienne-sur-Reyssouze,1190,531
Souclin,1150,261
Saint-Just,1250,881
Civrieux,1390,1362
Argis,1230,421
Talissieu,1510,425
Birieux,1330,236
Saint-Julien-sur-Veyle,1540,715
Thoiry,1710,5205
Laiz,1290,1130
Cressin-Rochefort,1350,374
Saint-Champ,1300,139
